Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;BOTUCATU;ZILO BUTIGNOLI; 45.520.699/0001-59;RUA MAJOR MATHEUS;1007;;VILA LAVRADORES;18609-083;GLP;01/12/2022;99,99;;R$ / 13 kg;LIQUIGÁS
SE;SP;ITAPIRA;JOSE AMERICO TEIXEIRA ME; 49.916.778/0001-34;RUA GRÉCIA;92;;CUBATÃO;13972-378;GLP;01/12/2022;95;;R$ / 13 kg;BRANCA
SE;SP;BIRIGUI;RONOGAS COMERCIO DE GAS LTDA.; 52.006.384/0001-53;RUA AFONSO PENA;3172;FUNDOS;VILA IZABEL MARIN;16200-267;GLP;02/12/2022;110;;R$ / 13 kg;ULTRAGAZ
SE;SP;MOGI GUACU;CAMPANA & CAMPANA LTDA.; 52.737.061/0001-30;RUA ANTONIO ORTIZ LOLO;S/N;;JARDIM NOVO II;13848-122;GLP;01/12/2022;105;;R$ / 13 kg;LIQUIGÁS
NE;CE;CRATO;COPERGA - COMERCIAL DE GÁS PEREIRA DE MORAIS LTDA.; 63.560.007/0004-20;AVENIDA PADRE CICERO;2918;KM 03;MURITI;63100-000;GLP;01/12/2022;112;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;MOGI GUACU;LEV GÁS COMÉRCIO DE GÁS MOGI GUAÇU LTDA.; 65.022.824/0001-08;RUA AVELINO DE MORAES;416;;JARDIM NOVO I;13847-176;GLP;01/12/2022;99,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;BOTUCATU;NEIDE DE FATIMA BOTINI CAPELETTI ME; 66.595.638/0001-20;RUA MAJOR MATHEUS;991;;VILA LAVRADORES;18609-083;GLP;01/12/2022;99,99;;R$ / 13 kg;LIQUIGÁS
S;PR;PINHAIS;GRESKIGAS COMÉRCIO DE GAS LTDA.; 86.762.788/0001-99;RUA AFONSO PENA;159;;VILA AMELIA;83330-160;GLP;01/12/2022;108;;R$ / 13 kg;LIQUIGÁS
CO;GO;GOIANIA;MARCOS COMERCIAL DE GAS EIRELI; 05.878.309/0001-00;RUA C-49;303;QD 129 LT 03;SETOR SUDOESTE;74305-340;GLP;01/12/2022;110;;R$ / 13 kg;BRANCA
NE;PE;RECIFE;CAMPO GRANDE FERRAGENS LTDA - ME; 08.773.368/0001-02;RUA MARQUES DE BAEPENDI;95;;CAMPO GRANDE;52050-310;GLP;01/12/2022;100;;R$ / 13 kg;BRANCA
SE;MG;UBERABA;ADAO COMERCIO DE GAS EIRELI; 05.890.083/0001-55;AVENIDA PROF. MARIA PAZ BARCELOS ALMEIDA;430;;CH ELZA AMUI;38082-230;GLP;01/12/2022;105;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;UBERABA;JOSÉ PIRES LOPES - ME; 04.882.818/0001-36;RUA DJALMA CASTRO ALVES;1572;;AMOROSO COSTA;38072-510;GLP;01/12/2022;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;PINHAIS;DIOGO MAX BARBOSA SILVA; 06.166.204/0001-83;AVENIDA MARINGÁ;822;;VL EMILIANO PERNETA;83324-000;GLP;01/12/2022;112;;R$ / 13 kg;LIQUIGÁS
CO;MS;CAMPO GRANDE;ALBA & LAMEN LTDA; 03.800.481/0001-08;RUA AMAZONAS;1608;;VILA GOMES;79022-130;GLP;01/12/2022;108;;R$ / 13 kg;COPA ENERGIA
CO;GO;CATALAO;MANANCIAL GAS EIRELI; 04.905.955/0001-49;RUA URUGUAI;270;QUADRA02                  LOTE  11;RESIDENCIAL LEBLON;75703-350;GLP;01/12/2022;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PE;JABOATAO DOS GUARARAPES;W.H. DE LIMA GÁS ME; 05.927.043/0001-30;RUA SAO SEBASTIAO;1198;;PIEDADE;54410-500;GLP;01/12/2022;99,99;;R$ / 13 kg;BRANCA
N;PA;CASTANHAL;P C R PAIVA COMERCIAL EIRELI; 06.972.477/0002-04;ALAMEDA PERIMETRAL JOAO PAULO II;497;;SAO JOSE;68744-290;GLP;01/12/2022;111;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;BOTUCATU;ZILO COMERCIO DE GAS LTDA; 06.124.988/0001-87;RUA MAJOR MATHEUS;991;;VILA DOS LAVRADORES;18609-083;GLP;01/12/2022;99,99;;R$ / 13 kg;BRANCA
NE;PE;JABOATAO DOS GUARARAPES;EZEQUIEL SEVERINO DA SILVA - ME.; 06.175.091/0001-82;RUA DE TODOS OS SANTOS;85;LOT. URB. DUAS URNAS;SANTO ALEIXO;54120-000;GLP;01/12/2022;100;;R$ / 13 kg;BAHIANA
SE;SP;BARRETOS;C.M. DE MELO SANTOS - ME; 06.089.156/0001-77;VIA CONSELHEIRO ANTÔNIO PRADO;832;;PEREIRA;14784-200;GLP;01/12/2022;110;;R$ / 13 kg;BRANCA
SE;MG;UBERABA;SILVA E SILVA COMÉRCIO DE GÁS LTDA - EPP; 07.084.192/0001-00;AVENIDA ORLANDO RODRIGUES DA CUNHA;2080;;LEBLON;38026-500;GLP;01/12/2022;125;;R$ / 13 kg;BRANCA
NE;PE;RECIFE;EDUARDO VASCONCELOS - ME; 35.391.572/0003-95;RUA JULIO JOSE DE SOUZA;22;;AGUA FRIA;52211-180;GLP;01/12/2022;97;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;GO;GOIANIA;IRANI ROSA DE JESUS; 07.065.247/0001-35;AVENIDA CIRCULAR;1394;QD. 130 B LT. 11;PARQUE OESTE INDUSTRIAL;74375-180;GLP;01/12/2022;105;;R$ / 13 kg;LIQUIGÁS
CO;GO;ITUMBIARA;G&G COM. E TRANSP. DE GÁS LIQ. DE PETRÓLEO ITUMBIARA; 07.580.594/0001-04;AVENIDA BARTOLOMEU DIAS DA ROCHA;355;;PLANALTO;75503-970;GLP;01/12/2022;115;;R$ / 13 kg;BRANCA
SE;SP;CAMPINAS;JEAN CARLOS GARCIA & CIA LTDA ME; 04.649.526/0001-58;AVENIDA DR. ARLINDO JOAQUIM DE LEMOS;455;;JARDIM PROENÇA;13095-000;GLP;01/12/2022;109,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;MG;LAVRAS;RAPIDO GAS DISTRIBUIDOR E COMERCIO DE GAS LTDA; 07.630.107/0001-62;RODOVIA LAVRAS/LUMINARIAS BR 354;SN;KM    0;DISTRITO INDUSTRIAL;37200-000;GLP;01/12/2022;110;;R$ / 13 kg;FOGAS
SE;SP;MIRASSOL;ANA PAULA DO AMARAL GULO GÁS - ME; 07.522.456/0001-60;RUA ARTUR YACUBIAN;32-41;;PORTAL;15130-000;GLP;01/12/2022;110;;R$ / 13 kg;BRANCA
SE;SP;CAMPINAS;M & F COMERCIAL DE GÁS LTDA.; 07.587.184/0001-87;RUA JORGE TIBIRIÇA;608;;VILA JOAQUIM INÁCIO;13045-076;GLP;01/12/2022;110;;R$ / 13 kg;COPA ENERGIA
NE;PE;JABOATAO DOS GUARARAPES;S.J. DA SILVA GÁS; 06.374.515/0001-38;RUA ITORORO;213;;PIEDADE;54410-395;GLP;01/12/2022;107;;R$ / 13 kg;BAHIANA
SE;MG;UBERABA;J. R. DISTRIBUIDORA DE GAS LTDA; 07.575.306/0001-15;AVENIDA LUCAS BORGES;308;;FABRICIO;38065-350;GLP;01/12/2022;107;;R$ / 13 kg;BRANCA
SE;SP;SAO PAULO;R.B. GANDINI - GAS ME; 07.693.086/0001-24;RUA VINTE E UM DE ABRIL;1462;1466/1468;BRAS;03047-000;GLP;01/12/2022;119,99;;R$ / 13 kg;ULTRAGAZ
S;SC;CHAPECO;BRAVAGÁS COMÉRCIO DE GLP LTDA.; 08.039.892/0001-46;RUA FELIPE SCHMIDT;75;E;BELA VISTA;89804-350;GLP;01/12/2022;138;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;BA;LAURO DE FREITAS;LENILDO LEAL DOS SANTOS; 05.812.431/0001-76;AVENIDA FORTALEZA LOT HORTO FLORESTAL;40B;;ITINGA;42700-000;GLP;01/12/2022;115;;R$ / 13 kg;BAHIANA
CO;GO;GOIANIA;ALE COMERCIAL DE GAS LTDA.; 07.991.109/0001-87;AVENIDA PRESIDENTE WASHINGTON LUIZ;316;QD. 45 LT. 3;JARDIM PRESIDENTE;74353-500;GLP;01/12/2022;105;;R$ / 13 kg;ULTRAGAZ
NE;PE;JABOATAO DOS GUARARAPES;NILTON SERAFIM DE MOURA - ME; 03.628.776/0001-49;AVENIDA BOM JESUS;785;;ZUMBI DO PACHECO;54300-061;GLP;01/12/2022;94,99;;R$ / 13 kg;BRANCA
SE;SP;JUNDIAI;OLIVEIRA & SILVÉRIO GÁS LTDA - ME; 06.298.422/0001-71;RUA PEDRO AMÉRICO;16;FRENTE;REC IV CENTENÁRIO;13211-752;GLP;01/12/2022;110;;R$ / 13 kg;BRANCA
NE;PE;JABOATAO DOS GUARARAPES;VAREJAO SERTANEJO GAS EIRELI; 06.060.346/0001-61;RUA RECIFE;25;A;CAJUEIRO SECO;54330-250;GLP;01/12/2022;124;;R$ / 13 kg;LIQUIGÁS
SE;SP;PRESIDENTE PRUDENTE;ANTONIO DE OLIVEIRA CARDOSO PRESIDENTE PRUDENTE; 04.806.390/0001-42;RUA PADRE JOÃO GOETZ;926;;JARDIM CINQUENTENÁRIO;19061-460;GLP;01/12/2022;110;;R$ / 13 kg;ULTRAGAZ
S;RS;LAJEADO;SUPERMERCADO CONVENTOS LTDA.; 02.051.293/0001-61;RUA PEDRO THEOBALDO BREIDENBACH;2180;;CONVENTOS;95600-000;GLP;01/12/2022;99;;R$ / 13 kg;LIQUIGÁS
SE;MG;DIVINOPOLIS;REVENDEDORA DE GAS AUTORAMA LTDA; 07.109.059/0001-61;AVENIDA VINTE E UM DE ABRIL;156;;CENTRO;35500-010;GLP;01/12/2022;110;;R$ / 13 kg;BRANCA
SE;SP;AMERICANA;LINO COMÉRCIO DE GÁS - ME.; 08.330.152/0001-64;AVENIDA ORLANDO DEI SANTI;1286;;JARDIM AMERICA;13477-150;GLP;01/12/2022;112,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;JUNDIAI;RAMOS & RAMOS DE JUNDIAI COMERCIO DE GAS LTDA; 04.788.637/0001-45;AVENIDA PROF. PEDRO CLARISMUNDO FORNARI;90;;VILA MARLENE;13214-660;GLP;01/12/2022;112;;R$ / 13 kg;ULTRAGAZ
SE;SP;JUNDIAI;RONILDO R. DA SILVA GAS -ME; 07.337.284/0001-55;RUA FAUSTINA BARBOSA STACKFLETH;40;;PARQUE CENTENARIO;13214-773;GLP;01/12/2022;108;;R$ / 13 kg;BRANCA
SE;SP;MIRASSOL;JOSÉ CLAUDIO RODRIGUÊS MONÇÃO - ME; 04.463.877/0001-70;RUA OSWALDO CRUZ;31-47;;SOUZA;15130-000;GLP;01/12/2022;99,99;;R$ / 13 kg;BRANCA
SE;SP;CAMPINAS;BANDEIRANTES COMERCIO DE GAS LTDA ME; 07.886.841/0001-97;AVENIDA ADÃO FOCESI;964;;JARDIM DO LAGO;13050-000;GLP;01/12/2022;114,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;AMPARO;LONER COMERCIO DE GAS LIQUEFEITO LTDA; 05.601.929/0001-90;AVENIDA ITALIA;315;;JD CAMANDOCAIA;13905-170;GLP;01/12/2022;120;;R$ / 13 kg;BRANCA
S;RS;CAXIAS DO SUL;SIM REDE DE POSTOS LTDA; 07.473.735/0006-96;RUA BENJAMIN CUSTODIO DE OLIVEIRA;305;SALA A;CHARQUEADAS;95110-760;GLP;01/12/2022;105,9;;R$ / 13 kg;BRANCA
S;RS;CAXIAS DO SUL;SIM REDE DE POSTOS LTDA; 07.473.735/0008-58;RUA AMADEO ROSSI;1030;SALA A;NOSSA SENHORA DE FATIMA;95043-040;GLP;01/12/2022;105,9;;R$ / 13 kg;BRANCA
S;RS;CAXIAS DO SUL;SIM REDE DE POSTOS LTDA; 07.473.735/0013-15;RUA 20 DE SETEMBRO;1077;SALA A;CENTRO;95020-450;GLP;01/12/2022;105,9;;R$ / 13 kg;BRANCA
S;RS;CAXIAS DO SUL;SIM REDE DE POSTOS LTDA; 07.473.735/0004-24;RUA JOAO NICHELE;2227;SALA A;CINQUENTENARIO;95012-631;GLP;01/12/2022;105,9;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;GRAMADO;COMERCIAL DE GAS DAS HORTENSIAS LTDA; 08.314.341/0001-43;AVENIDA BORGES DE MEDEIROS;3705;;CENTRO;95670-000;GLP;01/12/2022;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;RS;CAXIAS DO SUL;DOMINGUES COMÉRCIO DE GÁS E TRANSPORTES LTDA - ME.LTDA; 08.510.701/0001-82;AVENIDA   FRANÇA;1634;;BELA VISTA;95076-000;GLP;01/12/2022;98,9;;R$ / 13 kg;ULTRAGAZ
NE;PE;JABOATAO DOS GUARARAPES;ALEXANDRE SILVA NASCIMENTO GÁS; 08.068.006/0001-02;RUA MARABA;S/N;;PRAZERES;54340-090;GLP;01/12/2022;95;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;MG;UBERABA;CARLOS RENATO DA SILVA; 08.230.128/0001-53;AVENIDA GUILHERME CAPUCCI;705;;CIDADE NOVA;38082-257;GLP;01/12/2022;105;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;ARAUCARIA;G FERNANDES E PEREIRA LTDA.; 04.531.724/0001-12;RUA CAPIVARI;1227;;JARDIM IGUAÇU;83701-440;GLP;01/12/2022;104;;R$ / 13 kg;LIQUIGÁS
SE;SP;CARAPICUIBA;BEIRA RIO MATERIAIS PARA CONSTRUCAO CARAPICUIBA LTDA; 01.521.149/0001-89;AVENIDA MARGINAL;140;;CD ARISTON;06395-010;GLP;01/12/2022;100;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;JUNDIAI;M. L. SILVA VIOLETTI - ME.; 06.789.282/0001-34;AVENIDA AMELIA LATORRE;309;;RETIRO;13211-000;GLP;01/12/2022;105;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;CAMPINAS;MINEIRO COMÉRCIO DE GÁS CAMPINAS LTDA.; 08.386.205/0001-69;RUA ALFENAS;43;;JARDIM SANTA LÚCIA;13060-482;GLP;01/12/2022;109,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;LAJEADO;PRAJAGAS COMERCIO DE GAS LTDA; 08.963.675/0001-48;RUA NOSSA SENHORA DO CARAVAGIO;14;;ALTO DO PARQUE;95900-000;GLP;01/12/2022;99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;AMPARO;PET FORT COMÉRCIO DE RAÇÕES E TRANSPORTE LTDA; 05.439.541/0001-34;AVENIDA FRANCISCO PRESTES MAIA;799;;CENTRO;13900-200;GLP;01/12/2022;110;;R$ / 13 kg;LIQUIGÁS
NE;SE;ARACAJU;JC GAS EIRELI; 05.826.262/0001-23;RUA   ABRAHÃO CRISPIM DE SOUZA;50;;FAROLÂNDIA;49030-293;GLP;01/12/2022;104,9;;R$ / 13 kg;BAHIANA
SE;MG;UBERABA;FRANCO & GOUVEIA DISTRIBUIDORA DE GAS LTDA; 09.041.180/0001-24;RUA BENJAMIN BERNARDINO DA COSTA;425;"LOTE;";CONJUNTO COSTA TELLES I;38035-350;GLP;01/12/2022;105;;R$ / 13 kg;BRANCA
