Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;RJ;RIO DE JANEIRO;F P DISTRIBUIDORA DE GAS LTDA ME; 00.443.260/0001-31;RUA CUPERTINO;17;;QUINTINO;21380-150;GLP;03/10/2022;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;AM;MANAUS;EDMILSON SOARES DA SILVA - ME; 01.024.857/0001-04;AVENIDA ARICA;86;;MAUAZINHO;69075-410;GLP;03/10/2022;115;;R$ / 13 kg;AMAZONGÁS
N;AP;MACAPA;CARLOS REIS DE LIMA; 01.470.539/0001-77;AVENIDA DOS TIMBIRAS;839;;BURITIZAL;68902-872;GLP;03/10/2022;123;;R$ / 13 kg;LIQUIGÁS
N;AM;MANAUS;MARIVELTO BARBOSA DA ROCHA; 01.589.229/0001-76;RUA PADRE JOSÉ F NETO;136;CONJ. J PETRÓPOLIS;PETROPOLIS;69067-310;GLP;03/10/2022;110;;R$ / 13 kg;AMAZONGÁS
N;AM;MANAUS;N B PEREIRA; 02.024.898/0001-63;RUA DONA RACHEL SOUZA;236;;PETRÓPOLIS;69063-000;GLP;03/10/2022;120;;R$ / 13 kg;AMAZONGÁS
S;RS;PORTO ALEGRE;COMERCIAL DE GAS GOULARTE; 02.160.136/0001-94;AVENIDA SATURNINO DE BRITO, 299;299;;VILA JARDIM;91320-000;GLP;03/10/2022;100;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SAO PAULO;INTERGAZ  COM. E TRANSP. DE GAZ ENGARRAFADO E COM. E TRANSP. DE AGUA MINERAL LTDA; 02.397.097/0001-43;AVENIDA DO CURSINO;3626;;VILA MORAES;04132-002;GLP;03/10/2022;118,99;;R$ / 13 kg;ULTRAGAZ
CO;MT;CUIABA;BOTURA & FAGUNDES LTDA; 02.636.146/0002-34;AVENIDA RUI BARBOSA - LOTEAMENTO PRU;9;QUADRA 30;RECANTO DOS PASSAROS;78075-840;GLP;03/10/2022;135;;R$ / 13 kg;BRANCA
N;AM;MANAUS;AURÉLIO CORDOVIL FREIRE; 03.150.449/0001-24;AV. LESTE;13;;MAUAZINHO;69075-330;GLP;03/10/2022;115;;R$ / 13 kg;FOGAS
N;PA;BELEM;J. S. PORTAL - ME.; 03.340.399/0001-48;RUA 2 DE DEZEMBRO;764 A;;ICOARACI;66630-505;GLP;03/10/2022;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;RJ;RIO DE JANEIRO;L S M RAMIRO DISTRIBUIDORA ME; 03.606.545/0001-34;R GARCIA VASQUES;83;;PIEDADE;20740-550;GLP;03/10/2022;105;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;RN;NATAL;DEPOSITO DE GAS SAO TOME LTDA; 03.954.830/0001-46;AVENIDA XAVANTES;1970;;PITIMBU;59068-600;GLP;03/10/2022;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;AM;MANAUS;FRANCISCO LOPES DO NASCIMENTO - ME; 04.180.808/0001-59;RUA DR. AMARO ALENCAR;408;;SANTO ANTONIO;69029-010;GLP;03/10/2022;110;;R$ / 13 kg;AMAZONGÁS
SE;SP;SAO PAULO;SHOW GAS COMERCIO DE GAS LTDA.; 05.314.909/0001-38;AVENIDA PADRE ARLINDO VIEIRA;3565;;JARDIM VERGUEIRO;04166-003;GLP;03/10/2022;114,99;;R$ / 13 kg;ULTRAGAZ
N;AM;MANAUS;R. A. DE LIMA E CIA LTDA; 22.995.690/0001-07;RUA 03;27;;ALEIXO;69083-370;GLP;03/10/2022;116;;R$ / 13 kg;FOGAS
SE;SP;SAO PAULO;GAZMIM COM. E TRANSP. DE GÁS ENGARRAFADO E COM. E TRANSP. DE ÁGUA MINERAL LTDA; 53.013.595/0001-86;AVENIDA DO CURSINO;2120;;SAUDE;04132-010;GLP;03/10/2022;123,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;SAO PAULO;TAWARA COMERCIO DE GAS LTDA - EPP; 57.876.369/0001-80;RUA IBIRAREMA;87;;BOSQUE DA SAÚDE;04136-000;GLP;03/10/2022;122,9;;R$ / 13 kg;ULTRAGAZ
SE;RJ;RIO DE JANEIRO;REVENDEDORA DE GÁS VIANA & VIAL LTDA EPP; 68.685.403/0001-55;R VISCONDE DE SANTA CRUZ;115;;ENGENHO NOVO;20950-340;GLP;03/10/2022;99;;R$ / 13 kg;BRANCA
N;AM;MANAUS;CREUZA ALVES PIRES - ME; 84.123.157/0001-02;RUA CANOPUS;32;;LIRIO DO VALE;69038-000;GLP;03/10/2022;120;;R$ / 13 kg;FOGAS
CO;MT;CUIABA;ISABEL FERREIRA CORREIA ME; 04.665.924/0001-68;RUA QUILOMBO;69;;BAIRRO QUILOMBO;78045-070;GLP;03/10/2022;136;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PI;TERESINA;T DE L N FERREIRA LTDA; 05.584.976/0002-53;R IVAN TITO DE OLIVEIRA;2086;SUL;LOURIVAL PARENTE;64023-500;GLP;03/10/2022;115;;R$ / 13 kg;LIQUIGÁS
N;AM;MANAUS;JORGE SOARES DE OLIVEIRA ME.; 01.189.079/0001-03;RUA ARICA;128;;MAUAZINHO;69075-410;GLP;03/10/2022;120;;R$ / 13 kg;FOGAS
N;AM;MANAUS;NATAN LUCIANO MARTINS; 22.812.259/0001-70;RUA JOSE FLORENCIO;95;;PETROPOLIS;69063-390;GLP;03/10/2022;108;;R$ / 13 kg;AMAZONGÁS
NE;PI;TERESINA;T DE L N FERREIRA LTDA; 05.584.976/0003-34;RUA SANTA ROSA;2618;VILA SÃO JOSÉ DA COSTA RICA;TRES ANDARES;64017-755;GLP;03/10/2022;115;;R$ / 13 kg;LIQUIGÁS
NE;PI;TERESINA;J A SILVA MERCADINHO; 23.621.717/0004-07;AVENIDA ULISSES GUIMARÃES;S/N;QD. 28 - LT. 13 - CASA B;PROMORAR;64027-070;GLP;03/10/2022;120;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;J. A. O. DO NASCIMENTO - ME.; 05.950.281/0001-67;ESTRADA MARACACUERA;200;ÁGUAS NEGRAS;ICOARACI;66815-140;GLP;03/10/2022;114,99;;R$ / 13 kg;LIQUIGÁS
CO;MS;CAMPO GRANDE;ALBA & LAMEN LTDA; 03.800.481/0001-08;RUA AMAZONAS;1608;;VILA GOMES;79022-130;GLP;03/10/2022;110;;R$ / 13 kg;COPA ENERGIA
NE;CE;FORTALEZA;MSM SOCIEDADE COMERCIAL LTDA; 41.567.876/0001-00;RUA JOSÉ PEREIRA;97;;PAUPINA;60874-380;GLP;03/10/2022;120;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;GALIZA E LOUREIRO LTDA. - ME.; 06.197.468/0001-02;RUA OITO DE MAIO;531;CASA A;ICOARACI;66811-130;GLP;03/10/2022;108;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;BELEM;BERREDOS COMERCIO DE GAS LTDA ME; 07.351.555/0001-27;TRAVESSA BERREDOS;1036;PONTA GROSSA;ICOARACI;66812-440;GLP;03/10/2022;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;CE;FORTALEZA;GUSTAVO DOMINGOS LIMA NETO - ME; 02.596.358/0001-54;RUA FLORO BATOLOMEU;156;;PIO XII;60130-530;GLP;03/10/2022;123;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;CE;FORTALEZA;TARCÍSIO MIRANDA PASSOS; 06.865.628/0001-36;RUA MONSENHOR SALAZAR;815;;SÃO JOÃO DO TAUAPE;60130-370;GLP;03/10/2022;127;;R$ / 13 kg;LIQUIGÁS
N;AM;MANAUS;F.G. DA SILVA; 07.687.223/0001-18;AVENIDA PADRE AGOSTINHO C MARTIN;268;A;COMPENSA;69030-090;GLP;03/10/2022;120;;R$ / 13 kg;FOGAS
N;AP;MACAPA;M. M. SILVA BITTENCOURT - ME; 07.408.521/0001-21;AVENIDA REMOS AMORAS DE OLIVEIRA;785;A;MUCA;68902-315;GLP;03/10/2022;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;PORTO ALEGRE;CENTRAL PORTO GAS COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO LTDA; 09.147.784/0001-50;AVENIDA ASSIS BRASIL;7270;;SARANDI;91140-000;GLP;03/10/2022;110;;R$ / 13 kg;ULTRAGAZ
N;AP;MACAPA;M. DA SILVA OLIVEIRA EIRELI - ME; 00.451.408/0001-80;AVENIDA TREZE DE SETEMBRO;846;;TREM;68902-865;GLP;03/10/2022;122;;R$ / 13 kg;LIQUIGÁS
N;AP;MACAPA;MARIA HELENA FERREIRA LIMA - ME.; 74.132.002/0001-70;AVENIDA SALGADO FILHO;756;;SANTA RITA;68901-281;GLP;03/10/2022;125;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;PARACURI COMÉRCIO DE GÁS LTDA - EPP; 10.340.559/0001-14;RUA DOIS DE DEZEMBRO;230-A;;PARACURI;66813-250;GLP;03/10/2022;110;;R$ / 13 kg;LIQUIGÁS
SE;RJ;RIO DE JANEIRO;RAENGAS COMERCIO DE GAS LTDA ME.; 05.854.483/0001-05;RUA CRUZ E SOUSA;405;;ENCANTADO;20745-000;GLP;03/10/2022;92,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;AM;MANAUS;AZENAIDE DOS REIS DUARTE - ME.; 09.557.800/0002-63;AVENIDA ARICA;148;;MAUAZINHO;69075-410;GLP;03/10/2022;118;;R$ / 13 kg;FOGAS
N;AM;MANAUS;AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA; 10.988.014/0001-19;AVENIDA GRANDE OTELO;1902;CJ. CASTELO BRANCO;PARQUE 10;69055-021;GLP;03/10/2022;115;;R$ / 13 kg;ATEM' S
N;PA;BELEM;ROCHA REVENDEDORA DE BEBIDAS E GÁS LTDA; 11.047.950/0001-98;RUA CORONEL JUVENCIO SARMENTO;1265;FRENTE;PONTA GROSSA (ICOARACI);66812-490;GLP;03/10/2022;107,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;RJ;RIO DE JANEIRO;HUGLIPE EXPRESS COMÉRCIO DE GÁS LTDA ME; 08.195.128/0001-60;RUA PAIVA;101;;QUINTINO BOCAIUVA;21380-360;GLP;03/10/2022;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;AP;MACAPA;F. A. AMARAL ME; 07.132.377/0001-43;AVENIDA FRANCISCA PRAXEDIO DE MENDONCA;851;;MUCA;68902-340;GLP;03/10/2022;118;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;MICILENE V. LEITE COMERCIO ME.; 11.427.312/0001-00;PASSAGEM CANARINHO;19;A;UNA;66652-060;GLP;03/10/2022;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;AP;MACAPA;TUCUMA GAS LTDA; 11.820.488/0001-10;AVENIDA DOM JOSE MARITANO;790;E;UNIVERSIDADE;68903-270;GLP;03/10/2022;118;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;AM;MANAUS;LUCIVANIA PEREIRA DOS SANTOS ME.; 11.717.943/0001-56;RUA CAMPOS DE JORDAO;5;;PETROPOLIS;69067-250;GLP;03/10/2022;125;;R$ / 13 kg;FOGAS
N;AM;MANAUS;RESENDE COMERCIO DE PRODUTOS ALIMENTICIOS LTDA; 63.718.407/0002-50;RUA ALMERON KAMINHA;119;CONJ  JARDIM PETROPOLIS;PETROPOLIS;69067-200;GLP;03/10/2022;115;;R$ / 13 kg;AMAZONGÁS
SE;RJ;RIO DE JANEIRO;DELTA 2 COMÉRCIO  DE GÁS LTDA ME; 12.320.997/0001-46;RUA  FIGUEIREDO PIMENTEL;174;;PIEDADE;20751-200;GLP;03/10/2022;98;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MT;CUIABA;DEM & DEM COMERCIO DE COMBUSTIVES LTDA; 13.151.920/0001-52;AVENIDA DR VICENTE EMILIO VUOLO;200;;TANCREDO NEVES;78015-285;GLP;03/10/2022;135;;R$ / 13 kg;BRANCA
N;AP;MACAPA;T. N. S. DA S. O. PANTOJA; 13.035.765/0001-09;AVENIDA PRIMEIRO DE MAIO;899;;BURITIZAL;68902-891;GLP;03/10/2022;128;;R$ / 13 kg;BRANCA
N;PA;BELEM;F J DOS S MACEDO COMERCIO VAREJISTA DE BEBIDAS E GAS; 13.102.909/0001-00;RUA 15 DE AG0STO;1263;FUNDOS;PONTA GROSSA - ICOARACI;66810-070;GLP;03/10/2022;110;;R$ / 13 kg;BAHIANA
N;AM;MANAUS;R CRISTIAN N MAIA - ME; 13.116.505/0001-68;RUA CORONEL FERREIRA DE ARAUJO;72;;PETROPOLIS;69063-010;GLP;03/10/2022;112;;R$ / 13 kg;AMAZONGÁS
CO;MS;CAMPO GRANDE;DIAS E SOUZA COMERCIO DE GÁS LTDA ME; 12.444.713/0001-23;RUA   VÁRZEA GRANDE;133;;VILA MARGARIDA;79023-180;GLP;03/10/2022;110;;R$ / 13 kg;ULTRAGAZ
NE;PI;TERESINA;J DA CRUZ E SILVA; 13.644.674/0001-70;RUA QUINZE DE NOVEMBRO;6179;"QUADRA: 00G LOTE 04;";LOURIVAL PARENTE;64022-350;GLP;03/10/2022;120;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PI;TERESINA;CENTER GAS LTDA ME.; 14.719.547/0001-56;AVENIDA PROFESSOR VALTER ALENCAR;135;;SAO PEDRO;64019-625;GLP;03/10/2022;120;;R$ / 13 kg;BAHIANA
CO;MT;CUIABA;COMERCIO LEBLON GAS E AGUA LTDA - ME; 04.851.668/0001-01;RUA   BOA VISTA;560;;JARDIM LEBLON;78060-038;GLP;03/10/2022;120;;R$ / 13 kg;LIQUIGÁS
N;AM;MANAUS;V B CRUZ COMERCIO - ME; 14.294.247/0001-72;RUA   HERMAN LIMA;8;QUADRA 18 ARUANA;COMPENSA;69036-400;GLP;03/10/2022;114;;R$ / 13 kg;FOGAS
SE;SP;SAO PAULO;GASBOM TAMUATÁ COMÉRCIO DE GÁS LTDA; 14.781.133/0001-57;RUA TAMUATA;37;39;IPIRANGA;04255-140;GLP;03/10/2022;113;;R$ / 13 kg;CONSIGAZ
N;AP;MACAPA;C.S DE VASCONCELOS; 16.559.043/0001-41;RUA   AMADEU GAMA;1643;;ZERAO;68903-230;GLP;03/10/2022;125;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;AP;MACAPA;J SAMPAIO SILVA & CIA LTDA - ME; 15.299.218/0001-66;RUA   TERCEIRA;295;CJ HOSPITAL DE BASE;BURITIZAL;68902-756;GLP;03/10/2022;123;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO PAULO;GASBOM CURSINO I COMERCIO DE GAS LTDA; 14.500.298/0001-03;AVENIDA CURSINO;3387;;SAUDE;04133-300;GLP;03/10/2022;118,99;;R$ / 13 kg;CONSIGAZ
CO;MT;CUIABA;U F CASSIANO; 14.319.240/0001-68;RUA PROFESSORA ALICE FREIRE SILVA;13;QUADRA105                       CPA II;MORADA DA SERRA;78055-534;GLP;03/10/2022;120;;R$ / 13 kg;FOGAS
N;AM;MANAUS;SILVA E SANTIAGO LTDA - ME.; 11.758.206/0002-82;RUA  DOMINICA;38;;MAUAZINHO;69075-320;GLP;03/10/2022;120;;R$ / 13 kg;FOGAS
NE;RN;NATAL;ZONA NORTE GAS LTDA; 11.014.094/0002-55;TRAVESSA DOUTOR  VIANA;1;;DIX-SEPT ROSADO;59052-360;GLP;03/10/2022;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;AP;MACAPA;J SAMPAIO SILVA & CIA LTDA - ME; 15.299.218/0002-47;AVENIDA CARAMURU;80;ANEXO A;SANTA INES;68901-542;GLP;03/10/2022;125;;R$ / 13 kg;LIQUIGÁS
CO;MT;CUIABA;CENTRAL GAS - COMERCIO DE GAS E AGUA LTDA; 22.020.815/0001-75;RUA SAO BENEDITO;681;;LIXEIRA;78008-405;GLP;03/10/2022;114,99;;R$ / 13 kg;ULTRAGAZ
N;AP;MACAPA;PAJE COMERCIO VAREJISTA DE GAS LIQUEFEITO LTDA; 10.432.491/0002-84;RUA   BENEDITO LINO DO CARMO;915;A;CONGOS;68904-366;GLP;03/10/2022;118;;R$ / 13 kg;LIQUIGÁS
N;AM;MANAUS;I S COMERCIO DE GAS E AGUA EIRELI; 24.386.721/0001-40;RUA   AIRAS SANTIAGO;45;;NOVA ESPERANÇA;69037-545;GLP;03/10/2022;118;;R$ / 13 kg;FOGAS
CO;MT;CUIABA;NOVA RENASCER GAS E AGUA EIRELI; 22.122.488/0001-62;AVENIDA PROFESSORA  EDNA MARIA DE ALBUQUERQUE AFFI;868;LT 15 QD 13;JD RENASCER;78061-388;GLP;03/10/2022;135;;R$ / 13 kg;COPA ENERGIA
SE;SP;SAO PAULO;PR DAUAN COMERCIO DE GAS LTDA; 23.749.702/0001-78;AVENIDA PEDRO BUENO;1735;;JABAQUARA;04342-011;GLP;03/10/2022;109,99;;R$ / 13 kg;LIQUIGÁS
NE;CE;FORTALEZA;R&G COMERCIO VAREJISTA DE GAS LIQUEFEITO LTDA; 23.097.644/0001-45;AVENIDA ALMIRANTE MAXIMINIANO DA FONSECA;1128;;ENGENHEIRO LUCIANO CAVALCANTE;60811-020;GLP;03/10/2022;110;;R$ / 13 kg;COPA ENERGIA
N;PA;BELEM;POSTO GONCALVES LTDA; 26.255.957/0001-72;RUA ANTONIO BARRETO;1380;;UMARIZAL;66060-020;GLP;03/10/2022;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;RJ;RIO DE JANEIRO;G M TOME COMERCIO VAREJISTA DE GAS EIRELI; 26.272.857/0001-54;RUA TORRES DE OLIVEIRA;434;;PIEDADE;20740-380;GLP;03/10/2022;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;SAO PAULO;AG GODOY E CIA COMERCIO DE GAS LTDA; 26.262.663/0001-78;RUA TEIXEIRA LEITE;273;;LIBERDADE;01514-010;GLP;03/10/2022;110;;R$ / 13 kg;BRANCA
CO;MT;CUIABA;CLARICE APARECIDA DOS SANTOS & CIA LTDA; 25.356.771/0001-47;AVENIDA IPIRANGA;1254;;JARDIM INDEPENDENCIA;78031-030;GLP;03/10/2022;113;;R$ / 13 kg;LIQUIGÁS
N;AM;MANAUS;G A FELIX EIRELI; 23.870.200/0001-09;RUA CORONEL FERREIRA DE ARAUJO;809;ANDAR ALTOS;PETROPOLIS;69063-000;GLP;03/10/2022;115;;R$ / 13 kg;AMAZONGÁS
N;PA;BELEM;J C LOPES BAIA; 26.968.756/0001-12;TRAVESSA DOS BERREDOS;112 A;;PONTA GROSSA (ICOARACI);66812-440;GLP;03/10/2022;107,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;AP;MACAPA;E. DE S. DA SILVA - ME; 26.988.381/0001-52;AV. CARLOS GOMES;340;A;SANTA RITA;68900-000;GLP;03/10/2022;128;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO PAULO;GUIMARÃES GAS E VASILHAMES EIRELI - EPP; 26.738.992/0001-42;RUA CABONHA;25;;IPIRANGA;02050-000;GLP;03/10/2022;119;;R$ / 13 kg;ULTRAGAZ
NE;PI;TERESINA;LEONARDO CARVALHO SILVA ME; 28.298.574/0001-07;RUA   ORGMAR MONTEIRO;3580;;TRÊS ANDARES;64016-620;GLP;03/10/2022;115;;R$ / 13 kg;LIQUIGÁS
N;AP;MACAPA;W.G.S PINHEIRO; 28.088.514/0001-60;RUA VICENTE RAIMUNDO ALVES;1381;;ZERAO;68903-432;GLP;03/10/2022;128;;R$ / 13 kg;BRANCA
SE;SP;SAO PAULO;PETERSBURGO COMERCIO DE GAS LTDA; 09.508.703/0001-08;AVENIDA MIGUEL ESTEFNO;2076;;SAUDE;04301-001;GLP;03/10/2022;104,99;;R$ / 13 kg;COPA ENERGIA
N;AM;MANAUS;K R G TEIXEIRA - ME; 29.091.842/0001-88;AVENIDA   LAGUNA;37 A;QUADRA  A  LOTE 37 A;LÍRIO DO VALE;69038-010;GLP;03/10/2022;108,5;;R$ / 13 kg;AMAZONGÁS
N;AM;MANAUS;JOYCE NOGUEIRA DE SOUSA - ME; 29.170.850/0001-10;RUA FREI  LUÍS DE SOUZA;6;;NOVA ESPERANÇA;69037-532;GLP;03/10/2022;118;;R$ / 13 kg;FOGAS
NE;PI;TERESINA;J OLIVEIRA MAIA COMERCIO DE GAS; 28.659.832/0001-33;AVENIDA SANTA MADRE PAULINA;4560;;ANGELIM;64040-605;GLP;03/10/2022;114,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;AM;MANAUS;R DE SOUZA LIMA; 11.041.598/0001-83;RUA MARITIBA;31;;LIRIO DO VALE;69038-090;GLP;03/10/2022;118;;R$ / 13 kg;FOGAS
CO;MT;CUIABA;H A CADORE; 16.929.122/0001-05;AVENIDA PROFESSOR JOAO GOMES MONTEIRO SOBRINHO;190;;LIXEIRA;78008-800;GLP;03/10/2022;137;;R$ / 13 kg;BRANCA
S;RS;PORTO ALEGRE;LUANA MEDEIROS BRIAO 86288121053; 31.590.373/0001-93;ESTRADA JOAO DE OLIVEIRA REMIAO;4493;;LOMBA DO PINHEIRO;91560-000;GLP;03/10/2022;116;;R$ / 13 kg;LIQUIGÁS
N;AM;MANAUS;AGUAS DA TERRA LTDA; 23.472.494/0001-02;AVENIDA COSME FERREIRA;6039;BLOCO 02;ALEIXO;69083-000;GLP;03/10/2022;112;;R$ / 13 kg;AMAZONGÁS
N;PA;BELEM;PAULA RAIANNY CUNHA DA SILVA; 30.965.753/0001-00;PASSAGEM ESPORTIVA;31c;;UNA;66652-100;GLP;03/10/2022;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SAO PAULO;L J COMERCIO DE GAS EIRELI; 30.842.858/0001-64;RUA COLONIA DA GLORIA;314;;VILA MARIANA;04113-001;GLP;03/10/2022;120;;R$ / 13 kg;LIQUIGÁS
CO;MT;CUIABA;PATRICIA DAYANE GONCALVES DE ALMEIDA; 25.318.194/0001-07;AVENIDA JOSE ESTEVAO TORQUATO DA SILVA;2880;;NOVO PARAISO;78055-714;GLP;03/10/2022;125;;R$ / 13 kg;FOGAS
NE;PI;TERESINA;L & M BEBIDAS E GAS LTDA; 32.463.215/0002-16;RUA IVAN TITO DE OLIVEIRA;1781;;LOURIVAL PARENTE;64020-400;GLP;03/10/2022;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;AP;MACAPA;BORGES & PINHEIRO LTDA; 34.774.937/0001-36;RUA CLAUDOMIRO DE MORAES;2751;;NOVO BURITIZAL;68904-001;GLP;03/10/2022;113;;R$ / 13 kg;BAHIANA
N;PA;BELEM;G2F COMERCIO DE COMBUSTIVEIS LTDA; 34.808.701/0001-73;AVENIDA TAVARES BASTOS;1533;A;MARAMBAIA;66615-005;GLP;03/10/2022;120;;R$ / 13 kg;BAHIANA
N;PA;BELEM;AUTO POSTO CEDRO LTDA; 32.010.347/0001-01;RODOVIA AUGUSTO MONTENEGRO;330;KM 07;MARAMBAIA;66623-590;GLP;03/10/2022;144;;R$ / 13 kg;BRANCA
NE;PI;TERESINA;M & P COMERCIO DE GAS LTDA; 33.847.388/0001-10;RUA BENEDITINOS;1901;LETRA A;MACAUBA;64016-088;GLP;03/10/2022;120;;R$ / 13 kg;ULTRAGAZ
S;RS;PORTO ALEGRE;VRP COMERCIO E DISTRIBUICAO DE GAS EIRELI; 35.492.336/0001-01;AVENIDA ASSIS BRASIL;1513;;PASSO DA AREIA;91010-005;GLP;03/10/2022;113;;R$ / 13 kg;ULTRAGAZ
N;AP;MACAPA;WESLEY P DE MENDONCA DO NASCIMENTO; 33.505.562/0001-46;AVENIDA JOSE CORREA DA COSTA;10;;NOVA ESPERANCA;68901-685;GLP;03/10/2022;128;;R$ / 13 kg;LIQUIGÁS
NE;PI;TERESINA;T DE L N FERREIRA LTDA; 05.584.976/0008-49;AVENIDA PREFEITO WALL FERRAZ;8865;;LOURIVAL PARENTE;64022-800;GLP;03/10/2022;115;;R$ / 13 kg;LIQUIGÁS
